Processo;Código do Cliente;Cliente;Data Bal.;Geração média de caixa;Último Balanço > 1460 dias;ROB para data base;Soma 3 últimos Lucros Líquidos ;Patrimônio Líquido - Última DF;Risco;Dívida Líquida / Ebitda;Dívida / ROB;Dívida;Aplicações de Liquidez Imediata;Nível BACEN;Possui Audit.Externa?;Audit. Big 4
301222;194481;VMI SISTEMAS DE SEGURANCA LTDA;42369;15811200,67;Não;64267131;45503278;35399758;B ;0,809632337;0,125293566;542545,3462;1166556;B ;N;NULL
314900;76675;SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA;42369;3406309,993;Não;43658059,47;9760290,09;6409570,42;AA;-0,007532705;0,050890285;1752637,749;2281422,25;AA;N;NULL
315414;243154;PORTO MINEIRO DE GRAOS ARMAZENS GERAIS LTDA;42369;1304300,666;Não;76517470,68;2561363,659;5865465,17;A ;0,755096435;0,065671631;946886,7208;2330406,3;A ;N;NULL
316220;347791;MIB - MINERACAO IBIRITE LTDA;42369;48955936,88;Não;77040316,69;112418304,2;26317086,76;A ;0,508548022;0,167471233;6412678,252;125000,01;A ;N;NULL
316280;289985;CASA MATTOS LTDA;42369;1661348,367;Não;62858053,14;4360515,38;9198441,64;A ;0,602346506;0,046938006;2376248,828;1281387,81;A ;N;NULL
316863;190729;EMPRESA DE TRANSPORTES APOTEOSE LTDA;42369;99609,8533;Não;48105430,11;298829,56;38904488,92;C ;7,823469998;1,016529423;34952467,35;8400038,82;C ;N;NULL
317479;251233;TECHMEDICAL IMPORTACOES E COMERCIO LTDA;42369;7584096,477;Não;34229588,97;22752289,43;-3911780,46;A ;0,90155166;0,475484577;5628659,711;458048,54;A ;N;NULL
317864;412199;MULT MINAS INDUSTRIA E COMERCIO DE FERTILIZAN;42369;3015136,773;Não;31830000;8857319,5;8345460;A ;0,04132164;0,010667295;31697,75;5000;A ;S;N
318192;56268;JARBAS CORREA FILHO & CIA LTDA;42369;2427878,883;Não;82574846;6111500;9452958;A ;0,160806096;0,011340948;883107,3685;126374;A ;N;NULL
318421;408720;BEMISA HOLDING S.A.;42735;-41842666,67;Não;47827000;-132713000;77813000;NULL;-2,490276739;0,355238673;Não possui balanço cadastrado;10331000;NULL;S;
318689;316756;CENTRAL DE ARTIGOS PARA LABORATORIOS LTDA;42369;644937,09;Não;37103489,76;1056245;3473003,73;B ;1,586841095;0,067017294;1064485,92;0;B ;N;NULL
318945;33612;CLIN OFF DO BRASIL S.A.;42369;303284;Não;37375605;572767;1978096;B ;4,627291026;0,24481706;4184081,462;0;B ;S;N
319032;303129;CIALA DA AMAZONIA REFINADORA DE METAIS LTDA;42369;8615653,807;Não;80663622,4;25616712,94;37152862,33;A ;2,347149205;0,397565514;10069461,32;663772,3;A ;N;NULL
320012;261675;SUPREMA SERVICOS INDUSTRIAIS LTDA;42735;9974180,333;Não;53290541;18974142;23521261,95;B ;1,789239827;0,371011547;6797880,701;0;B ;N;NULL
320158;516748;REAL GUINDASTES E EQUIPAMENTOS LTDA;42369;32979767,72;Não;72630487,91;42243423,41;108186600;B ;-0,129960935;0,071589459;5188311,115;9118021,2;B ;N;NULL
320453;1420;VIACAO PASSARO VERDE LTDA;42369;-919913,5067;Não;75685185;-2759740,52;27980986;E ;15,52171665;0,473089733;12065322,76;0;E ;N;NULL
320993;739363;CULTURA AGRONEGOCIOS LTDA;42369;1988350;Não;48327609;4790824;2026051,45;B ;-9,488221823;0,254373469;648836,4434;395743;B ;S;N
322145;5415;GECAL INDUSTRIA E COMERCIO DE PRODUTOS MINERA;42369;6286644,05;Não;54991357,98;12869940,87;24404680,35;A ;1,584871954;0,302021743;10045144,22;0;A ;N;NULL
322471;41000;RESMA COMERCIO DE PAPEIS LTDA;42735;83618,2467;Não;31409498,68;57292,63;1728847,12;C ;4,771650162;0,108796106;1297080,911;49329,74;C ;N;NULL
322741;241168;IMBALLAGGIO LTDA;42735;1117832,437;Não;43980658,96;1531002,79;3622238,93;B ;1,983266893;0,089914624;2781205,129;0;B ;N;NULL
